,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2011,MIA,MEM,LAC,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,OKC,CHA,NOH,NYK,NJN,CHI,BOS,MIL,UTA,IND,WAS
2012,MIA,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,OKC,CHA,NOH,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS
2013,MIA,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,BRK,SAC,PHO,OKC,CHA,NOH,NYK,BOS,CHI,MIL,UTA,IND,WAS
2014,MIA,NOP,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,BRK,GSW,POR,SAC,PHO,OKC,CHA,NYK,BOS,CHI,MIL,UTA,IND,WAS
2015,MIA,NOP,CHO,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,BRK,POR,GSW,SAC,PHO,OKC,NYK,BOS,CHI,MIL,UTA,IND,WAS
2016,MIA,NOP,CHO,MEM,LAC,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,BRK,POR,GSW,SAC,PHO,OKC,NYK,BOS,CHI,MIL,UTA,IND,WAS
2017,MIA,NOP,CHO,MEM,LAC,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,BRK,POR,GSW,SAC,PHO,OKC,NYK,BOS,CHI,MIL,UTA,IND,WAS
2018,MIA,NOP,CHO,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,BRK,SAC,PHO,OKC,NYK,BOS,CHI,MIL,UTA,IND,WAS
2019,MIA,NOP,CHO,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,BRK,SAC,PHO,OKC,NYK,BOS,CHI,MIL,UTA,IND,WAS
2020,MIA,NOP,CHO,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,BRK,GSW,SAC,PHO,OKC,NYK,BOS,CHI,MIL,UTA,IND,WAS
2021,MIA,NOP,CHO,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,BRK,POR,GSW,SAC,PHO,OKC,NYK,CHI,BOS,MIL,UTA,IND,WAS
2022,MIA,NOP,CHO,MEM,LAC,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,BRK,POR,GSW,SAC,PHO,OKC,NYK,BOS,CHI,MIL,UTA,IND,WAS
2023,MIA,NOP,CHO,MEM,LAC,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,BRK,GSW,POR,SAC,PHO,OKC,NYK,CHI,BOS,MIL,UTA,IND,WAS
