   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
222,Randy Foye           ,SG   ,27.0,LAC,63.0,24.0,24.6,3.3,8.4 ,0.388,1.1,3.4,0.327,2.1,5.0 ,0.43 ,0.455,2.1,2.4 ,0.893,0.2,1.4 ,1.6 ,2.7 ,0.7,0.3,1.5,1.9,9.8
223,Channing Frye        ,PF   ,27.0,PHO,77.0,64.0,33.0,4.6,10.8,0.432,2.2,5.7,0.39 ,2.4,5.1 ,0.479,0.535,1.2,1.4 ,0.832,0.8,5.8 ,6.7 ,1.2 ,0.6,1.0,0.9,3.5,12.7
224,Dan Gadzuric         ,C-PF ,32.0,TOT,42.0,9.0 ,11.0,1.3,3.1 ,0.419,0.0,0.0,0.0  ,1.3,3.0 ,0.422,0.419,0.2,0.6 ,0.37 ,1.7,1.5 ,3.2 ,0.3 ,0.3,0.7,0.7,2.2,2.8
227,Sundiata Gaines      ,PG   ,24.0,TOT,24.0,0.0 ,12.5,1.8,4.4 ,0.4  ,0.4,1.6,0.237,1.4,2.8 ,0.493,0.443,0.8,1.5 ,0.5  ,0.5,1.0 ,1.6 ,1.8 ,0.7,0.0,1.1,1.0,4.6
231,Danilo Gallinari     ,PF-SF,22.0,TOT,62.0,60.0,33.9,4.3,10.3,0.414,1.7,4.7,0.352,2.6,5.6 ,0.467,0.495,5.4,6.3 ,0.862,1.0,4.0 ,4.9 ,1.7 ,0.8,0.4,1.3,2.3,15.6
234,Francisco García     ,SF   ,29.0,SAC,58.0,34.0,23.9,3.6,8.2 ,0.436,1.4,3.9,0.362,2.2,4.3 ,0.502,0.521,1.1,1.3 ,0.855,0.4,1.9 ,2.3 ,1.2 ,0.9,0.8,0.8,2.2,9.7
235,Kevin Garnett*       ,PF   ,34.0,BOS,71.0,71.0,31.3,6.1,11.6,0.528,0.0,0.1,0.2  ,6.1,11.5,0.53 ,0.529,2.6,3.1 ,0.862,1.2,7.7 ,8.9 ,2.4 ,1.3,0.8,1.6,2.1,14.9
236,Marc Gasol           ,C    ,26.0,MEM,81.0,81.0,31.9,4.5,8.5 ,0.527,0.0,0.1,0.429,4.5,8.4 ,0.528,0.529,2.7,3.6 ,0.748,1.9,5.1 ,7.0 ,2.5 ,0.9,1.7,1.8,3.3,11.7
237,Pau Gasol            ,C    ,30.0,LAL,82.0,82.0,37.0,7.2,13.7,0.529,0.0,0.0,0.333,7.2,13.6,0.53 ,0.53 ,4.3,5.2 ,0.823,3.3,6.9 ,10.2,3.3 ,0.6,1.6,1.7,2.5,18.8
239,Rudy Gay             ,SF   ,24.0,MEM,54.0,54.0,39.9,7.6,16.1,0.471,1.1,2.7,0.396,6.5,13.4,0.486,0.503,3.6,4.5 ,0.805,1.5,4.7 ,6.2 ,2.8 ,1.7,1.1,2.5,2.4,19.8
240,Alonzo Gee           ,SG   ,23.0,TOT,56.0,34.0,20.0,2.2,4.7 ,0.458,0.3,0.9,0.333,1.9,3.8 ,0.488,0.491,1.3,1.6 ,0.783,1.1,2.1 ,3.3 ,0.7 ,0.7,0.3,1.0,1.7,5.9
244,Paul George          ,SG   ,20.0,IND,61.0,19.0,20.7,2.9,6.5 ,0.453,0.7,2.3,0.297,2.3,4.2 ,0.537,0.505,1.3,1.7 ,0.762,0.6,3.1 ,3.7 ,1.1 ,1.0,0.4,1.1,2.1,7.8
245,Daniel Gibson        ,SG   ,24.0,CLE,67.0,15.0,27.8,3.9,9.9 ,0.4  ,1.8,4.4,0.403,2.2,5.5 ,0.398,0.489,2.0,2.4 ,0.822,0.4,2.3 ,2.6 ,3.0 ,0.7,0.3,1.2,2.3,11.6
246,Taj Gibson           ,PF   ,25.0,CHI,80.0,19.0,21.8,2.9,6.3 ,0.466,0.0,0.1,0.125,2.9,6.2 ,0.472,0.467,1.3,1.9 ,0.676,2.0,3.7 ,5.7 ,0.7 ,0.5,1.3,0.9,2.5,7.1
247,Manu Ginóbili        ,SG   ,33.0,SAS,80.0,79.0,30.3,5.5,12.7,0.433,1.9,5.5,0.349,3.6,7.2 ,0.497,0.509,4.5,5.1 ,0.871,0.5,3.2 ,3.7 ,4.9 ,1.5,0.4,2.2,2.0,17.4
